sku,img,undefined,title,brand,web,cat1,cat2,price,saleprice,isonsale,stock,size,list
170041#BLACK-GREY#60-63,170041_BLACK-GREY,"32990,00",Blizzard Viper black matt-grey matt unisex bukósisak,Blizzard,www.blizzard-ski.com,Bukósisak,Felszerelés,32990,32990,0,"2,00",60-63,[object Object]
170051#DBL-BBL#55-59,170051_DBL-BBL,"32990,00",Blizzard Viper dark blue matt-bright blue matt unisex bukósisak,Blizzard,www.blizzard-ski.com,Bukósisak,Felszerelés,32990,32990,0,"1,00",55-59,"[object Object],[object Object]"
170052#D-BGREEN#60-63,170052_D-BGREEN,"33990,00",Blizzard Viper dark green matt-bright green matt unisex bukósisak,Blizzard,www.blizzard-ski.com,Bukósisak,Felszerelés,33990,33990,0,"2,00",60-63,[object Object]
170055#B.BLUE/WHITE#60-63,170055_BLUE-WHITE,"21990,00",Blizzard Viper unisex bukósisak,Blizzard,www.blizzard-ski.com,Bukósisak,Felszerelés,15600,21990,0,"2,00",60-63,[object Object]
170305#ORN-BLK,170305_ORN-BLK,"2990,00",Tecnica Tube unisex csősál,Tecnica,www.tecnica.it,Csősál,Ruházat,2990,2990,0,"1,00",,[object Object]
180055#BLK/ORN/SIL#125,180055_BLK-ORN-SIL,"10990,00",Blizzard Sport black-orange-silver síbot,Blizzard,www.blizzard-ski.com,Síbot,Felszerelés,10990,10990,0,"1,00",125 cm,[object Object]
180115#Blk-Ant-Blue#35-38,180115_Blk-Ant-Blue,"6590,00",Blizzard Allround Wool unisex sízokni,Blizzard,www.blizzard-ski.com,Sízokni,Ruházat,6590,6590,0,"1,00",35-38,[object Object]
180120#Blk-Ant-Red#35-38,180120_Blk-Ant-Red,"6590,00",Blizzard Allround Wool unisex sízokni,Blizzard,www.blizzard-ski.com,Sízokni,Ruházat,6590,6590,0,"2,00",35-38,"[object Object],[object Object]"
190003#blk-sil#10,190003_blk-sil,"16990,00","Blizzard Profi ski gloves, black-silver síkesztyű",Blizzard,www.blizzard-ski.com,Síkesztyű,Ruházat,16990,16990,0,"2,00",10,"[object Object],[object Object],[object Object],[object Object]"
190004#blk/yell/bl#10,190004_blk-yell-bl,"16990,00","Blizzard Profi ski gloves, blk-yell-blu síkesztyű",Blizzard,www.blizzard-ski.com,Síkesztyű,Ruházat,16990,16990,0,"2,00",10,"[object Object],[object Object],[object Object],[object Object],[object Object]"
190006#blk#10,190006_blk,"16990,00",Blizzard Firebird férfi síkesztyű,Blizzard,www.blizzard-ski.com,Síkesztyű,Ruházat,16990,16990,0,"1,00",10,"[object Object],[object Object],[object Object]"
190010#blk#7,190010_blk,"13990,00",Blizzard Viva Mitten női síkesztyű,Blizzard,www.blizzard-ski.com,Síkesztyű,Ruházat,13990,13990,0,"2,00",7,[object Object]
190012#blk#8,190012_blk,"16990,00",Blizzard Viva Alight black női síkesztyű,Blizzard,www.blizzard-ski.com,Síkesztyű,Ruházat,16990,16990,0,"1,00",8,[object Object]
190014#blk-wht-pink#8,190014_blk-wht-pink,"13990,00",Blizzard Viva Plose black-white-pink női síkesztyű,Blizzard,www.blizzard-ski.com,Síkesztyű,Ruházat,13990,13990,0,"1,00",8,[object Object]
190016#blk-wht-tur#7,190016_blk-wht-tur,"13990,00",Blizzard Viva Plose black-white-turq női síkesztyű,Blizzard,www.blizzard-ski.com,Síkesztyű,Ruházat,13990,13990,0,"1,00",7,"[object Object],[object Object]"
190018#blk-wht-sil#7,190018_blk-wht-sil,"13990,00",Blizzard Viva Plose black-white-sil női síkesztyű,Blizzard,www.blizzard-ski.com,Síkesztyű,Ruházat,13990,13990,0,"1,00",7,[object Object]
190042#GRE#125,190042_GRE,"11990,00",Blizzard Allmountain neon green shiny silver síbot,Blizzard,www.blizzard-ski.com,Síbot,Felszerelés,11990,11990,0,"1,00",125 cm,"[object Object],[object Object]"
190046#ANT/SIL/PINK#120,190046_ANT-SIL-PINK,"11990,00",Blizzard Viva Allmountain ski poles white-silver-pink női síbot,Blizzard,www.blizzard-ski.com,Síbot,Felszerelés,11990,11990,0,"2,00",120 cm,[object Object]
190071#M/L,190071,"17990,00",Blizzard Viva long sleeve flowers női aláöltöző felső,Blizzard,www.blizzard-ski.com,Aláöltöző felső,Ruházat,17990,17990,0,"2,00",M/L,"[object Object],[object Object]"
190073#M/L,190073,"10990,00",Blizzard Viva long pants flowers aláöltöző alsó,Blizzard,www.blizzard-ski.com,Aláöltöző alsó,Ruházat,10990,10990,0,"2,00",M/L,"[object Object],[object Object]"
191005,191005,"9990,00",Blizzard Skiboot bag táska,Blizzard,www.blizzard-ski.com,Táska,Felszerelés,9990,9990,0,"5,00",,[object Object]
191010#160-180,191010,"12990,00","Blizzard síléczsák,1 pár, 160-180 cm",Blizzard,www.blizzard-ski.com,Táska,Felszerelés,12990,12990,0,"2,00",,[object Object]
191221#SZ-US#45-46,191221_SZ-US,"3990,00",Dr.Sox Merinotech sízokni,Dr.Sox,www.drsox.hu,Sízokni,Ruházat,3990,3990,0,"4,00",45-46,[object Object]
191221#vegyes#41-42,191221_SZ-UZ,"3990,00",Dr.Sox Merinotech sízokni,Dr.Sox,www.drsox.hu,Sízokni,Ruházat,3990,3990,0,"17,00",41-42,"[object Object],[object Object],[object Object]"
1EAD903#240-mustard#S/M,1EAD903_240,"19990,00",Fundango Seamless Baselayer Set 240-mustard unisex aláöltöző szett,Fundango,www.fundangosports.com,Aláöltöző szett,Ruházat,19990,19990,0,"3,00",S/M,[object Object]
1EB903#398-aubergine#M/L,1EB903_398,"21990,00",Fundango Seamless Baselayer Set 398-aubergine női aláöltöző szett,Fundango,www.fundangosports.com,Aláöltöző szett,Ruházat,21990,21990,0,"3,00",M/L,"[object Object],[object Object]"
1EB903#486-patriotblue#L/XL,1EB903_486,"21990,00",Fundango SEAMLESS Baselayer 486-patriotblue unisex aláöltöző szett,Fundango,www.fundangosports.com,Aláöltöző szett,Ruházat,21990,21990,0,"4,00",L/XL,"[object Object],[object Object]"
1EB903#890-#L/XL,1EB903_890,"21990,00",Fundango SEAMLESS Baselayer 890- unisex aláöltöző szett,Fundango,www.fundangosports.com,Aláöltöző szett,Ruházat,21990,21990,0,"2,00",L/XL,"[object Object],[object Object]"
1EZ902#780-antracit#L/XL,1EZ902_780,"19990,00",Fundango SEAMLESS HALFZIP Baselayer 780-antracit unisex aláöltöző szett,Fundango,www.fundangosports.com,Aláöltöző szett,Ruházat,19990,19990,0,"2,00",L/XL,"[object Object],[object Object]"
1HAD101#240-mustard#L,1HAD101_240,"42490,00",Fundango Teak Pants 240-mustard férfi sínadrág,Fundango,www.fundangosports.com,Sínadrág,Ruházat,49990,42490,0,"2,00",L,"[object Object],[object Object],[object Object],[object Object],[object Object]"
1HAD101#2400-mustard#L,1HAD101_2400,"42490,00",Fundango Teak Pants 2400-mustard férfi sínadrág,Fundango,www.fundangosports.com,Sínadrág,Ruházat,49990,42490,0,"3,00",L,[object Object]
1HAD101#260-mango#S,1HAD101_260,"42490,00",Fundango Teak Pants 260-mango férfi sínadrág,Fundango,www.fundangosports.com,Sínadrág,Ruházat,49990,42490,0,"1,00",S,"[object Object],[object Object],[object Object]"
1HAD101#480-navy#L,1HAD101_480,"42490,00",Fundango Teak Pants 480-navy férfi sínadrág,Fundango,www.fundangosports.com,Sínadrág,Ruházat,49990,42490,0,"1,00",L,"[object Object],[object Object],[object Object],[object Object]"
1HAD101#486-patriotblue#L,1HAD101_486,"42490,00",Fundango Teak Pants 486-patriot blue férfi sínadrág,Fundango,www.fundangosports.com,Sínadrág,Ruházat,49990,42490,0,"3,00",L,"[object Object],[object Object],[object Object]"
1HAD101#4860-patriotblue#S,1HAD101_4860,"42490,00",Fundango Teak Pants 4860-patriot blue férfi sínadrág,Fundango,www.fundangosports.com,Sínadrág,Ruházat,49990,42490,0,"1,00",S,"[object Object],[object Object]"
1HAD101#565-moss#L,1HAD101_565,"42490,00",Fundango Teak Pants 565-moss férfi sínadrág,Fundango,www.fundangosports.com,Sínadrág,Ruházat,49990,42490,0,"2,00",L,"[object Object],[object Object],[object Object],[object Object]"
1HAD101#890-black#S,1HAD101_890,"42490,00",Fundango Teak Pants 890-black férfi sínadrág,Fundango,www.fundangosports.com,Sínadrág,Ruházat,49990,42490,0,"3,00",S,[object Object]
1HAD103#890-black#S,1HAD103_890,"42490,00",Fundango Sierra Pants 890-black férfi sínadrág,Fundango,www.fundangosports.com,Sínadrág,Ruházat,49990,42490,0,"2,00",S,[object Object]
1HAD103#893-blkcamo#S,1HAD103_893,"42490,00",Fundango Sierra Pants 893-black camouflage férfi sínadrág,Fundango,www.fundangosports.com,Sínadrág,Ruházat,49990,42490,0,"2,00",S,[object Object]
1HAD130#890-black#L,1HAD130_890,"59490,00",Fundango Mugo Fullzip Pants 890-black férfi sínadrág,Fundango,www.fundangosports.com,Sínadrág,Ruházat,69990,59490,0,"2,00",L,"[object Object],[object Object],[object Object],[object Object]"
1HB101#260-mango#M,1HB101_260,"38990,00",Fundango Teak Pants 260-mango férfi síndrág,Fundango,www.fundangosports.com,Sínadrág,Ruházat,47990,38990,0,"1,00",M,"[object Object],[object Object],[object Object],[object Object]"
1HB101#486-patriotblue#S,1HB101_486,"38990,00",Fundango Teak Pants 486-patriotblue férfi síndrág,Fundango,www.fundangosports.com,Sínadrág,Ruházat,47990,38990,0,"2,00",S,"[object Object],[object Object],[object Object],[object Object]"
1HB101#520-lime#S,1HB101_520,"38990,00",Fundango Teak Pants 520-lime férfi síndrág,Fundango,www.fundangosports.com,Sínadrág,Ruházat,47990,38990,0,"2,00",S,[object Object]
1HB101#890-black#S,1HB101_890,"38990,00",Fundango Teak Pants 890-black férfi síndrág,Fundango,www.fundangosports.com,Sínadrág,Ruházat,47990,38990,0,"1,00",S,[object Object]
1HB103#260-mango#M,1HB103_260,"39990,00",Fundango Sierra Pants 260-mango férfi sínadrág,Fundango,www.fundangosports.com,Sínadrág,Ruházat,49990,39990,0,"2,00",M,"[object Object],[object Object],[object Object]"
